,group,FDR,nGenes,Pathway size,Fold enriched,Pathway,URL,Genes
1,Upregulated,8.68E-26,180,688,2.30874768579741,Cell cycle ,http://amigo.geneontology.org/amigo/term/GO:0007049,"AT1G01690, AT1G02730, AT1G03780, AT1G07270, AT1G08260, AT1G08390, AT1G15570, AT1G15660, AT1G20010, AT1G20610, AT1G20720, AT1G20930, AT1G22260, AT1G26330, AT1G44110, AT1G44900, AT1G47210, AT1G50010, AT1G50490, AT1G65010, AT1G70210, AT1G75780, AT1G76310, AT1G76540, AT1G77620, AT1G77720, AT1G78770, AT2G16440, AT2G26760, AT2G27970, AT2G28870, AT2G29550, AT2G31270, AT2G32590, AT2G33560, AT2G44580, AT3G02820, AT3G05330, AT3G05480, AT3G10525, AT3G11520, AT3G19590, AT3G23890, AT3G25100, AT3G25980, AT3G42660, AT3G43610, AT3G47460, AT3G50070, AT3G53760, AT3G54750, AT3G57060, AT3G59550, AT4G05190, AT4G11990, AT4G12620, AT4G14970, AT4G15890, AT4G17760, AT4G21270, AT4G22860, AT4G22970, AT4G23990, AT4G24010, AT4G26760, AT4G29170, AT4G30710, AT4G32410, AT4G32830, AT4G34160, AT4G35620, AT4G37650, AT5G05510, AT5G06150, AT5G07590, AT5G08020, AT5G09870, AT5G12250, AT5G17420, AT5G19770, AT5G19780, AT5G20850, AT5G43080, AT5G44030, AT5G44635, AT5G45400, AT5G48600, AT5G50930, AT5G52950, AT5G54670, AT5G59360, AT5G60930, AT5G61000, AT5G62410, AT5G62500, AT5G62700, AT5G63540, AT5G64740, AT5G67100, AT5G67270, AT1G17480, AT1G49620, AT1G63100, AT1G72670, AT2G26180, AT2G36010, AT3G50630, AT1G02970, AT1G08560, AT1G14350, AT1G18370, AT1G30690, AT1G53050, AT1G53140, AT1G67180, AT2G01910, AT2G07690, AT2G28150, AT2G30820, AT2G33400, AT2G34680, AT2G35190, AT2G38720, AT2G40550, AT2G42260, AT2G44740, AT3G10440, AT3G43210, AT3G44050, AT3G44960, AT3G48160, AT3G51280, AT3G60840, AT3G63120, AT4G00020, AT4G02060, AT4G13020, AT4G14310, AT4G32700, AT4G33260, AT4G33270, AT5G01630, AT5G13840, AT5G18700, AT5G22110, AT5G45550, AT5G52220, AT5G24330, AT1G04650, AT1G35530, AT1G65470, AT1G71830, AT3G17360, AT3G19050, AT3G22780, AT3G23670, AT3G27120, AT3G58650, AT4G14150, AT5G11510, AT5G12150, AT5G55260, AT1G01370, AT1G04730, AT1G50240, AT1G69690, AT1G69770, AT1G76670, AT2G22125, AT2G28620, AT3G18730, AT3G20780, AT3G27060, AT3G55005, AT4G37450, AT5G38110, AT5G46700, AT5G49160, AT5G56580, AT1G07370"
2,Upregulated,3.53E-23,135,471,2.53368082430341,Cell cycle process ,http://amigo.geneontology.org/amigo/term/GO:0022402,"AT1G01690, AT1G02730, AT1G03780, AT1G07270, AT1G08390, AT1G15570, AT1G15660, AT1G20610, AT1G20720, AT1G20930, AT1G22260, AT1G44110, AT1G44900, AT1G47210, AT1G50490, AT1G65010, AT1G70210, AT1G76310, AT1G76540, AT1G77620, AT1G77720, AT1G78770, AT2G16440, AT2G26760, AT2G28870, AT2G31270, AT2G32590, AT2G33560, AT2G44580, AT3G02820, AT3G05330, AT3G05480, AT3G10525, AT3G11520, AT3G19590, AT3G23890, AT3G25100, AT3G25980, AT3G43610, AT3G47460, AT3G50070, AT3G53760, AT3G54750, AT3G57060, AT3G59550, AT4G05190, AT4G11990, AT4G12620, AT4G14970, AT4G15890, AT4G17760, AT4G21270, AT4G22860, AT4G22970, AT4G23990, AT4G24010, AT4G26760, AT4G29170, AT4G30710, AT4G32410, AT4G32830, AT4G34160, AT4G35620, AT5G05510, AT5G06150, AT5G07590, AT5G09870, AT5G17420, AT5G20850, AT5G43080, AT5G44030, AT5G44635, AT5G48600, AT5G50930, AT5G52950, AT5G54670, AT5G59360, AT5G60930, AT5G62410, AT5G62500, AT5G63540, AT5G64740, AT5G67100, AT5G67270, AT1G17480, AT1G72670, AT2G26180, AT1G02970, AT2G30820, AT2G33400, AT3G10440, AT3G44050, AT3G44960, AT5G18700, AT5G52220, AT1G04650, AT1G18370, AT1G35530, AT1G71830, AT3G17360, AT3G19050, AT3G22780, AT3G23670, AT3G27120, AT3G43210, AT3G48160, AT3G58650, AT4G14150, AT5G11510, AT5G12150, AT5G55260, AT1G01370, AT1G04730, AT1G14350, AT1G50240, AT1G53140, AT1G69690, AT1G69770, AT1G76670, AT2G22125, AT2G28620, AT2G40550, AT2G42260, AT3G18730, AT3G20780, AT3G50630, AT3G55005, AT4G32700, AT4G37450, AT5G38110, AT5G45550, AT5G46700, AT5G49160, AT5G56580, AT2G35190"
3,Upregulated,5.34E-18,91,291,2.76515289961014,Mitotic cell cycle ,http://amigo.geneontology.org/amigo/term/GO:0000278,"AT1G02730, AT1G03780, AT1G07270, AT1G08260, AT1G15570, AT1G15660, AT1G20010, AT1G20610, AT1G20930, AT1G44110, AT1G44900, AT1G47210, AT1G50010, AT1G50490, AT1G70210, AT1G75780, AT1G76310, AT1G76540, AT1G77620, AT1G77720, AT1G78770, AT2G16440, AT2G26760, AT2G27970, AT2G28870, AT2G29550, AT2G31270, AT2G32590, AT2G33560, AT2G44580, AT3G05480, AT3G10525, AT3G11520, AT3G19590, AT3G25100, AT3G25980, AT3G42660, AT3G43610, AT3G47460, AT3G50070, AT3G53760, AT3G57060, AT3G59550, AT4G11990, AT4G12620, AT4G14970, AT4G15890, AT4G22860, AT4G23990, AT4G24010, AT4G32410, AT4G32830, AT4G34160, AT4G35620, AT4G37650, AT5G05510, AT5G06150, AT5G07590, AT5G09870, AT5G12250, AT5G17420, AT5G19770, AT5G19780, AT5G43080, AT5G44030, AT5G44635, AT5G48600, AT5G52950, AT5G59360, AT5G60930, AT5G62410, AT5G62700, AT5G64740, AT5G67100, AT1G63100, AT3G44050, AT5G18700, AT5G20850, AT5G52220, AT3G58650, AT5G12150, AT1G69770, AT1G76670, AT2G22125, AT2G28620, AT3G05330, AT3G17360, AT3G18730, AT3G19050, AT5G38110, AT5G49160"
4,Upregulated,7.3E-18,81,237,2.93955007483163,Microtubule-based process ,http://amigo.geneontology.org/amigo/term/GO:0007017,"AT1G03780, AT1G11160, AT1G20010, AT1G50010, AT1G55550, AT1G75780, AT2G01910, AT2G18990, AT2G21380, AT2G29550, AT2G38720, AT3G01450, AT3G04810, AT3G17360, AT3G19050, AT3G20150, AT3G23670, AT3G43610, AT3G44050, AT3G49650, AT3G53760, AT3G60840, AT4G05190, AT4G11990, AT4G14150, AT4G14330, AT4G15830, AT4G21270, AT4G22860, AT4G26660, AT4G26760, AT4G30710, AT4G32830, AT5G08390, AT5G12250, AT5G14790, AT5G15600, AT5G19770, AT5G19780, AT5G23910, AT5G27550, AT5G28290, AT5G54670, AT5G55520, AT5G60930, AT5G62500, AT5G62700, AT5G67270, AT1G19835, AT3G16630, AT1G18370, AT1G20060, AT1G59540, AT1G72250, AT2G21300, AT2G22610, AT2G28620, AT2G36200, AT2G37420, AT2G47500, AT3G05330, AT3G10180, AT3G10310, AT3G16060, AT3G23090, AT3G43210, AT3G44730, AT3G45850, AT4G38950, AT5G20110, AT5G65460, AT5G66310, AT3G58650, AT1G75640, AT2G22125, AT3G06030, AT3G20860, AT3G55005, AT4G18570, AT5G18700, AT5G64740"
5,Upregulated,9.3E-18,120,450,2.35610661268556,Cell division ,http://amigo.geneontology.org/amigo/term/GO:0051301,"AT1G02730, AT1G13650, AT1G78770, AT3G05330, AT4G23990, AT4G24010, AT4G26760, AT4G32410, AT4G32830, AT4G37650, AT5G09870, AT5G17420, AT5G44030, AT5G64740, AT1G17480, AT1G57820, AT1G72670, AT2G26180, AT1G02970, AT1G03780, AT1G07270, AT1G08560, AT1G15570, AT1G15660, AT1G18370, AT1G20610, AT1G22260, AT1G30690, AT1G44110, AT1G46480, AT1G47210, AT1G53140, AT1G70210, AT1G76310, AT2G01910, AT2G26760, AT2G27970, AT2G28150, AT2G32590, AT2G34680, AT2G35190, AT2G38720, AT2G40550, AT2G42260, AT2G44740, AT3G09730, AT3G11520, AT3G19590, AT3G25100, AT3G25980, AT3G43210, AT3G47460, AT3G50070, AT3G51280, AT3G57060, AT3G59550, AT3G60840, AT3G63120, AT4G05190, AT4G14310, AT4G15890, AT4G21270, AT4G22970, AT4G30710, AT4G32700, AT4G33260, AT4G33270, AT4G34160, AT4G35620, AT5G06150, AT5G13840, AT5G18700, AT5G43080, AT5G45550, AT5G48600, AT5G62410, AT5G62500, AT5G67270, AT5G61480, AT1G69690, AT2G26330, AT2G28350, AT3G17360, AT3G19050, AT3G22780, AT3G23670, AT3G58650, AT4G14150, AT5G11510, AT5G12150, AT1G01370, AT1G08260, AT1G14350, AT1G14580, AT1G46264, AT1G50240, AT1G65470, AT1G69770, AT1G76670, AT1G78580, AT1G80080, AT2G16750, AT2G22125, AT2G28620, AT2G34925, AT2G37630, AT3G18730, AT3G24140, AT3G24770, AT3G55005, AT3G56370, AT3G59420, AT3G60630, AT4G00150, AT4G37750, AT5G22110, AT5G38110, AT5G49160, AT5G56580, AT5G64770"
6,Upregulated,1.59E-16,38,65,4.77015027322404,Microtubule-based movement ,http://amigo.geneontology.org/amigo/term/GO:0007018,"AT1G55550, AT2G21380, AT3G17360, AT3G19050, AT3G20150, AT3G23670, AT3G44050, AT3G49650, AT4G05190, AT4G14150, AT4G14330, AT4G21270, AT4G26660, AT5G23910, AT5G27550, AT5G54670, AT5G55520, AT1G18370, AT1G20060, AT1G59540, AT1G72250, AT2G21300, AT2G22610, AT2G28620, AT2G36200, AT2G37420, AT2G47500, AT3G10180, AT3G10310, AT3G16060, AT3G16630, AT3G43210, AT3G44730, AT3G45850, AT4G38950, AT5G60930, AT5G65460, AT5G66310"
7,Upregulated,2.04E-16,75,230,2.91523343574673,Mitotic cell cycle process ,http://amigo.geneontology.org/amigo/term/GO:1903047,"AT1G02730, AT1G03780, AT1G07270, AT1G15570, AT1G15660, AT1G20610, AT1G20930, AT1G44110, AT1G44900, AT1G47210, AT1G50490, AT1G70210, AT1G76310, AT1G76540, AT1G77620, AT1G77720, AT1G78770, AT2G16440, AT2G26760, AT2G28870, AT2G32590, AT2G33560, AT2G44580, AT3G05480, AT3G10525, AT3G11520, AT3G19590, AT3G25100, AT3G25980, AT3G47460, AT3G50070, AT3G57060, AT3G59550, AT4G11990, AT4G12620, AT4G14970, AT4G15890, AT4G22860, AT4G23990, AT4G24010, AT4G32410, AT4G32830, AT4G34160, AT4G35620, AT5G05510, AT5G06150, AT5G07590, AT5G09870, AT5G17420, AT5G43080, AT5G44030, AT5G44635, AT5G48600, AT5G52950, AT5G59360, AT5G60930, AT5G62410, AT5G64740, AT5G67100, AT3G44050, AT5G18700, AT5G20850, AT5G52220, AT3G58650, AT5G12150, AT1G69770, AT1G76670, AT2G22125, AT2G28620, AT3G05330, AT3G17360, AT3G18730, AT3G19050, AT5G38110, AT5G49160"
8,Upregulated,2.05E-14,42,87,3.97047595841455,Movement of cell or subcellular component ,http://amigo.geneontology.org/amigo/term/GO:0006928,"AT1G04160, AT1G08730, AT1G55550, AT2G20290, AT2G21380, AT3G17360, AT3G19050, AT3G20150, AT3G23670, AT3G44050, AT3G49650, AT4G05190, AT4G14150, AT4G14330, AT4G21270, AT4G26660, AT4G27370, AT5G23910, AT5G27550, AT5G54670, AT5G55520, AT1G18370, AT1G20060, AT1G59540, AT1G72250, AT2G21300, AT2G22610, AT2G28620, AT2G36200, AT2G37420, AT2G47500, AT3G10180, AT3G10310, AT3G16060, AT3G16630, AT3G43210, AT3G44730, AT3G45850, AT4G38950, AT5G60930, AT5G65460, AT5G66310"
9,Upregulated,9.25E-13,129,700,1.98752051784391,Cell wall organization or biogenesis ,http://amigo.geneontology.org/amigo/term/GO:0071554,"AT1G02730, AT1G78060, AT2G04780, AT2G37090, AT2G37720, AT3G05910, AT3G06550, AT4G09990, AT4G23990, AT4G24010, AT4G32410, AT5G03170, AT5G07720, AT5G09870, AT5G17420, AT5G23870, AT5G26670, AT5G44030, AT5G60490, AT5G60920, AT5G62220, AT5G64740, AT5G67230, AT3G55990, AT3G61130, AT5G14650, AT5G15740, AT1G02720, AT1G05850, AT1G06490, AT1G11545, AT1G13250, AT1G19940, AT1G20190, AT1G23480, AT1G24070, AT1G24170, AT1G26770, AT1G32860, AT1G48100, AT1G63000, AT1G64390, AT1G69530, AT1G70630, AT1G75680, AT1G78570, AT1G79500, AT2G03090, AT2G03280, AT2G20750, AT2G22125, AT2G24630, AT2G26330, AT2G28950, AT2G32990, AT2G33570, AT2G36870, AT2G37640, AT2G38540, AT2G38650, AT2G39700, AT2G40320, AT2G40610, AT3G02250, AT3G03220, AT3G16630, AT3G21190, AT3G23730, AT3G23840, AT3G24480, AT3G29030, AT3G44990, AT3G45940, AT3G49220, AT3G59010, AT3G59100, AT4G02130, AT4G02290, AT4G03210, AT4G13410, AT4G13840, AT4G16120, AT4G24510, AT4G28250, AT4G29360, AT4G31590, AT4G37800, AT5G03760, AT5G08370, AT5G09760, AT5G15470, AT5G16190, AT5G17780, AT5G19730, AT5G22740, AT5G41900, AT5G44670, AT5G47500, AT5G53370, AT5G55480, AT5G60930, AT5G62380, AT5G65730, AT5G65810, AT2G18230, AT2G41770, AT2G45890, AT3G03250, AT5G06610, AT5G12150, AT5G15490, AT5G16600, AT5G50800, AT1G01200, AT1G27120, AT1G66810, AT1G70370, AT1G73360, AT1G76670, AT1G78580, AT2G35620, AT2G36570, AT2G38080, AT3G16060, AT3G19820, AT4G17880, AT4G26850, AT5G61130, AT2G35700"
10,Upregulated,2.67E-12,103,532,2.14906454658444,Cell wall organization ,http://amigo.geneontology.org/amigo/term/GO:0071555,"AT3G05910, AT5G23870, AT5G26670, AT5G60920, AT3G61130, AT5G14650, AT5G15740, AT1G02720, AT1G02730, AT1G06490, AT1G11545, AT1G13250, AT1G19940, AT1G20190, AT1G23480, AT1G24070, AT1G24170, AT1G26770, AT1G32860, AT1G48100, AT1G63000, AT1G64390, AT1G69530, AT1G70630, AT1G75680, AT1G78570, AT1G79500, AT2G03090, AT2G03280, AT2G20750, AT2G22125, AT2G24630, AT2G26330, AT2G28950, AT2G32990, AT2G33570, AT2G36870, AT2G37090, AT2G37640, AT2G38540, AT2G38650, AT2G39700, AT2G40610, AT3G02250, AT3G03220, AT3G21190, AT3G23730, AT3G23840, AT3G24480, AT3G29030, AT3G44990, AT3G45940, AT3G49220, AT3G59010, AT3G59100, AT4G02130, AT4G02290, AT4G03210, AT4G13410, AT4G13840, AT4G16120, AT4G23990, AT4G24010, AT4G24510, AT4G28250, AT4G29360, AT4G31590, AT4G32410, AT4G37800, AT5G03760, AT5G08370, AT5G09760, AT5G09870, AT5G15470, AT5G16190, AT5G17420, AT5G17780, AT5G19730, AT5G22740, AT5G41900, AT5G44030, AT5G44670, AT5G47500, AT5G53370, AT5G55480, AT5G60930, AT5G62380, AT5G64740, AT5G65730, AT5G65810, AT5G67230, AT2G18230, AT2G41770, AT2G45890, AT3G03250, AT5G06610, AT5G15490, AT5G50800, AT1G70370, AT1G73360, AT2G35620, AT4G26850, AT5G61130"
