,group,FDR,nGenes,Pathway size,Fold enriched,Pathway,URL,Genes
1,Upregulated,5.98E-25,121,281,2.72616950574268,Photosynthesis ,http://amigo.geneontology.org/amigo/term/GO:0015979,"AT1G15820, AT1G19150, AT1G20950, AT1G29920, AT1G45474, AT1G75690, AT2G05070, AT2G05100, AT2G15820, AT2G34430, AT2G40100, AT3G01440, AT3G08940, AT3G27690, AT3G47470, AT3G54890, AT4G09650, AT4G21280, AT4G22890, AT5G01530, AT5G28450, AT5G54270, AT1G08380, AT1G55480, AT1G64860, AT2G45870, AT2G46820, AT3G14395, AT1G03630, AT1G06680, AT1G08520, AT1G12900, AT1G15980, AT1G30380, AT1G31330, AT1G32060, AT1G42970, AT1G44575, AT1G52230, AT1G55670, AT1G56190, AT1G58300, AT1G67090, AT1G67740, AT1G74470, AT1G77090, AT2G01590, AT2G06520, AT2G21970, AT2G26550, AT2G28605, AT2G30790, AT2G39470, AT2G42600, AT3G12780, AT3G21055, AT3G22840, AT3G50820, AT3G54050, AT3G55250, AT3G55330, AT3G55800, AT3G56940, AT4G02530, AT4G02770, AT4G12800, AT4G14690, AT4G15510, AT4G17600, AT4G18480, AT4G28660, AT4G28750, AT4G34190, AT4G35250, AT5G02120, AT5G11450, AT5G13630, AT5G27390, AT5G38410, AT5G38420, AT5G38430, AT5G44650, AT5G45930, AT5G47110, AT5G54190, AT5G64040, AT5G66190, ATCG00080, ATCG00340, ATCG00350, ATCG00490, ATCG00520, ATCG00540, ATCG01090, ATCG01100, AT1G01790, AT4G04850, AT1G60600, AT1G60950, AT1G64150, AT1G67840, AT1G68890, AT3G01480, AT3G01500, AT3G15095, AT3G15850, AT3G16250, AT3G27925, AT4G04020, AT4G04640, AT4G18370, AT5G08720, AT5G24120, AT5G39830, AT5G49740, AT5G65810, AT3G04790, AT1G50250, AT1G70760, AT3G11670, AT4G03280"
2,Upregulated,1.74E-16,90,237,2.59472480472943,Microtubule-based process ,http://amigo.geneontology.org/amigo/term/GO:0007017,"AT1G03780, AT1G11160, AT1G18550, AT1G20010, AT1G50010, AT1G55550, AT1G75780, AT2G01910, AT2G18990, AT2G21380, AT2G29550, AT3G01450, AT3G12020, AT3G17360, AT3G19050, AT3G20150, AT3G23670, AT3G43610, AT3G44050, AT3G49650, AT3G53760, AT3G60840, AT4G05190, AT4G09550, AT4G11990, AT4G14150, AT4G14330, AT4G15830, AT4G21270, AT4G22860, AT4G26660, AT4G26760, AT4G27180, AT4G30710, AT4G32830, AT5G08390, AT5G12250, AT5G14790, AT5G15510, AT5G15600, AT5G19770, AT5G23430, AT5G23910, AT5G27550, AT5G28290, AT5G47820, AT5G54670, AT5G55520, AT5G60930, AT5G62500, AT5G62700, AT5G67270, AT1G19835, AT3G16630, AT3G53350, AT1G18370, AT1G20060, AT1G59540, AT1G72250, AT2G21300, AT2G22610, AT2G28620, AT2G36200, AT2G47500, AT3G05330, AT3G10180, AT3G16060, AT3G23090, AT3G43210, AT3G44730, AT3G45850, AT3G51150, AT4G15930, AT4G27360, AT4G38950, AT5G10470, AT5G20110, AT5G65460, AT3G05750, AT3G58650, AT1G53510, AT1G75640, AT2G22125, AT3G06030, AT3G55005, AT4G18570, AT5G01840, AT5G18700, AT5G49720, AT5G64740"
3,Upregulated,1.11E-15,41,65,4.08870023419204,Microtubule-based movement ,http://amigo.geneontology.org/amigo/term/GO:0007018,"AT1G18550, AT1G55550, AT2G21380, AT3G12020, AT3G17360, AT3G19050, AT3G20150, AT3G23670, AT3G44050, AT3G49650, AT4G05190, AT4G14150, AT4G14330, AT4G21270, AT4G26660, AT4G27180, AT5G23910, AT5G27550, AT5G54670, AT5G55520, AT1G18370, AT1G20060, AT1G59540, AT1G72250, AT2G21300, AT2G22610, AT2G28620, AT2G36200, AT2G47500, AT3G10180, AT3G16060, AT3G16630, AT3G43210, AT3G44730, AT3G45850, AT3G51150, AT4G38950, AT5G10470, AT5G47820, AT5G60930, AT5G65460"
4,Upregulated,1.14E-13,46,87,3.45465006237364,Movement of cell or subcellular component ,http://amigo.geneontology.org/amigo/term/GO:0006928,"AT1G04160, AT1G04600, AT1G18550, AT1G55550, AT2G20290, AT2G21380, AT3G12020, AT3G17360, AT3G19050, AT3G20150, AT3G23670, AT3G44050, AT3G49650, AT3G58160, AT4G05190, AT4G14150, AT4G14330, AT4G21270, AT4G26660, AT4G27180, AT4G27370, AT5G23910, AT5G27550, AT5G54670, AT5G55520, AT1G18370, AT1G20060, AT1G59540, AT1G72250, AT2G21300, AT2G22610, AT2G28620, AT2G36200, AT2G47500, AT3G10180, AT3G16060, AT3G16630, AT3G43210, AT3G44730, AT3G45850, AT3G51150, AT4G38950, AT5G10470, AT5G47820, AT5G60930, AT5G65460"
5,Upregulated,8.33E-13,64,148,2.72254574693599,Photosynthesis light reaction ,http://amigo.geneontology.org/amigo/term/GO:0019684,"AT1G15820, AT1G19150, AT1G29920, AT1G45474, AT1G75690, AT2G05070, AT2G05100, AT2G15820, AT2G34430, AT2G40100, AT3G01440, AT3G08940, AT3G27690, AT3G47470, AT3G54890, AT4G09650, AT4G21280, AT4G22890, AT5G01530, AT5G28450, AT5G54270, AT1G08380, AT1G55480, AT2G45870, AT2G46820, AT1G15980, AT2G01590, AT3G50820, AT3G55250, AT4G02530, AT5G44650, ATCG01090, ATCG01100, AT1G55670, AT1G60600, AT1G60950, AT1G64150, AT1G67740, AT1G68890, AT3G01480, AT3G15095, AT3G15850, AT3G16250, AT3G27925, AT3G54050, AT4G04020, AT4G04640, AT4G15510, AT4G18370, AT4G35250, AT5G02120, AT5G08720, AT5G24120, AT5G39830, AT5G49740, AT5G66190, AT2G21970, AT1G06680, AT1G50250, AT1G70760, AT3G11670, AT4G03280, ATCG00520, ATCG00540"
6,Upregulated,3.66E-11,169,688,1.7220415375367,Cell cycle ,http://amigo.geneontology.org/amigo/term/GO:0007049,"AT1G01690, AT1G02730, AT1G03780, AT1G08390, AT1G15570, AT1G15660, AT1G20010, AT1G20610, AT1G20720, AT1G20930, AT1G26330, AT1G44110, AT1G44900, AT1G47210, AT1G50010, AT1G60460, AT1G65010, AT1G70210, AT1G75780, AT1G76540, AT1G77620, AT1G77720, AT2G16440, AT2G26760, AT2G27970, AT2G28870, AT2G29550, AT2G31270, AT2G32590, AT2G33560, AT2G44580, AT3G02820, AT3G02930, AT3G05330, AT3G10525, AT3G19590, AT3G23890, AT3G25100, AT3G25980, AT3G42660, AT3G43610, AT3G50070, AT3G53760, AT3G54180, AT3G54750, AT3G57060, AT4G03270, AT4G05190, AT4G09550, AT4G11990, AT4G17760, AT4G21270, AT4G22860, AT4G22970, AT4G23990, AT4G24010, AT4G26760, AT4G27180, AT4G30710, AT4G32190, AT4G32410, AT4G32830, AT4G34160, AT4G35620, AT4G37490, AT4G37650, AT5G06150, AT5G07590, AT5G08020, AT5G09870, AT5G12250, AT5G15510, AT5G16730, AT5G19770, AT5G37630, AT5G44635, AT5G47820, AT5G48600, AT5G52950, AT5G54670, AT5G59360, AT5G60930, AT5G61000, AT5G62500, AT5G62700, AT5G63540, AT5G64740, AT5G67100, AT5G67270, AT1G17480, AT1G49620, AT1G63100, AT1G72670, AT2G23430, AT2G26180, AT2G36010, AT3G50630, AT1G02970, AT1G03180, AT1G04030, AT1G08560, AT1G14350, AT1G18370, AT1G53050, AT1G67180, AT2G01910, AT2G07690, AT2G22140, AT2G28150, AT2G30820, AT2G33400, AT2G34680, AT2G35190, AT2G40550, AT2G44740, AT3G01330, AT3G05327, AT3G10440, AT3G14190, AT3G43210, AT3G44050, AT3G44960, AT3G51280, AT3G57200, AT3G60840, AT3G63120, AT4G00020, AT4G02060, AT4G13020, AT4G14310, AT4G22940, AT4G28080, AT4G32700, AT4G33260, AT4G33270, AT5G13840, AT5G18700, AT5G24330, AT1G04650, AT1G35530, AT1G65470, AT1G71830, AT2G39830, AT3G05750, AT3G17360, AT3G19050, AT3G22780, AT3G23670, AT3G58650, AT4G14150, AT5G11510, AT5G12150, AT5G55260, AT1G04730, AT1G64625, AT1G69690, AT1G76670, AT2G01210, AT2G22125, AT2G28620, AT3G18730, AT3G27060, AT3G55005, AT4G37450, AT5G46700, AT5G49160, AT5G57790, AT1G07370, AT5G10470"
7,Upregulated,1.65E-10,58,148,2.59430083008813,Pigment biosynthetic process ,http://amigo.geneontology.org/amigo/term/GO:0046148,"AT1G31800, AT1G44446, AT1G53500, AT1G74470, AT1G78570, AT3G14790, AT3G53130, AT3G56940, AT4G01690, AT4G03205, AT4G15560, AT4G18480, AT5G17230, AT5G42800, AT5G45930, AT5G57030, AT1G30530, AT3G29590, AT4G27430, AT1G03630, AT1G08520, AT1G58290, AT2G40490, AT3G14930, AT3G48730, AT3G51820, AT3G59400, AT4G14090, AT4G22880, AT5G08640, AT5G13630, AT5G18660, AT5G52570, AT5G54190, AT5G13930, AT1G69690, AT2G20570, AT4G17600, AT5G44190, AT5G47110, AT1G56650, AT1G70000, AT2G28350, AT2G35260, AT2G41680, AT3G11945, AT3G21560, AT3G62610, AT4G09820, AT4G14690, AT4G17880, AT5G17220, AT5G49330, AT5G54060, AT5G61670, AT5G67030, AT3G22840, AT2G26170"
8,Upregulated,3.52E-10,124,471,1.84881208580993,Cell cycle process ,http://amigo.geneontology.org/amigo/term/GO:0022402,"AT1G01690, AT1G02730, AT1G03780, AT1G08390, AT1G15570, AT1G15660, AT1G20610, AT1G20720, AT1G20930, AT1G44110, AT1G44900, AT1G47210, AT1G60460, AT1G65010, AT1G70210, AT1G76540, AT1G77620, AT1G77720, AT2G16440, AT2G26760, AT2G28870, AT2G31270, AT2G32590, AT2G33560, AT2G44580, AT3G02820, AT3G02930, AT3G05330, AT3G10525, AT3G19590, AT3G23890, AT3G25100, AT3G25980, AT3G43610, AT3G50070, AT3G53760, AT3G54180, AT3G54750, AT3G57060, AT4G03270, AT4G05190, AT4G09550, AT4G11990, AT4G17760, AT4G21270, AT4G22860, AT4G22970, AT4G23990, AT4G24010, AT4G26760, AT4G27180, AT4G30710, AT4G32190, AT4G32410, AT4G32830, AT4G34160, AT4G35620, AT4G37490, AT5G06150, AT5G07590, AT5G09870, AT5G15510, AT5G16730, AT5G37630, AT5G44635, AT5G47820, AT5G48600, AT5G52950, AT5G54670, AT5G59360, AT5G60930, AT5G62500, AT5G63540, AT5G64740, AT5G67100, AT5G67270, AT1G17480, AT1G72670, AT2G26180, AT1G02970, AT1G03180, AT1G04030, AT2G30820, AT2G33400, AT3G10440, AT3G44050, AT3G44960, AT5G18700, AT1G04650, AT1G18370, AT1G35530, AT1G71830, AT2G39830, AT3G05750, AT3G17360, AT3G19050, AT3G22780, AT3G23670, AT3G43210, AT3G58650, AT4G14150, AT5G11510, AT5G12150, AT5G55260, AT1G04730, AT1G14350, AT1G64625, AT1G69690, AT1G76670, AT2G01210, AT2G22125, AT2G28620, AT2G40550, AT3G14190, AT3G18730, AT3G50630, AT3G55005, AT4G32700, AT4G37450, AT5G46700, AT5G49160, AT5G57790, AT2G35190, AT5G10470"
9,Upregulated,5.92E-10,143,700,1.75029357328641,Cell wall organization or biogenesis ,http://amigo.geneontology.org/amigo/term/GO:0071554,"AT1G02730, AT1G78060, AT2G04780, AT2G15440, AT2G37720, AT2G46930, AT3G05910, AT3G06550, AT3G62060, AT4G23990, AT4G24010, AT4G32410, AT5G03170, AT5G07720, AT5G09870, AT5G23870, AT5G26670, AT5G44130, AT5G50750, AT5G60490, AT5G60920, AT5G62220, AT5G64740, AT3G53350, AT3G55990, AT3G61130, AT5G14650, AT5G15740, AT1G02720, AT1G05850, AT1G06490, AT1G08200, AT1G11545, AT1G13250, AT1G19940, AT1G20190, AT1G23480, AT1G24070, AT1G24170, AT1G26770, AT1G48100, AT1G63000, AT1G64390, AT1G69530, AT1G70630, AT1G70710, AT1G75680, AT1G78570, AT1G79500, AT2G03090, AT2G03280, AT2G20750, AT2G22125, AT2G24630, AT2G26330, AT2G28950, AT2G32990, AT2G33570, AT2G35650, AT2G36870, AT2G37640, AT2G38540, AT2G38650, AT2G40320, AT2G40610, AT3G02250, AT3G03220, AT3G16630, AT3G21190, AT3G23730, AT3G23840, AT3G24480, AT3G29030, AT3G44990, AT3G45940, AT3G49220, AT3G57200, AT3G59010, AT4G02130, AT4G02290, AT4G03210, AT4G13410, AT4G13840, AT4G16120, AT4G24510, AT4G28250, AT4G29360, AT4G31590, AT4G33220, AT4G37800, AT4G39010, AT5G03760, AT5G08370, AT5G09760, AT5G16190, AT5G17780, AT5G19730, AT5G22740, AT5G41900, AT5G42100, AT5G44670, AT5G47500, AT5G47820, AT5G49720, AT5G53370, AT5G55480, AT5G60930, AT5G64640, AT5G65730, AT5G65810, AT1G66230, AT2G18230, AT2G41770, AT2G45890, AT2G46710, AT3G03250, AT5G06610, AT5G12150, AT5G16600, AT5G17310, AT5G50800, AT1G01200, AT1G27120, AT1G31420, AT1G66810, AT1G70370, AT1G73360, AT1G76670, AT1G78580, AT2G34070, AT2G35620, AT2G36570, AT2G38320, AT2G47670, AT3G16060, AT3G19820, AT4G17880, AT4G26850, AT5G01620, AT5G04885, AT5G61130, AT2G35700, AT4G34980"
10,Upregulated,1.17E-09,113,532,1.87302523521537,Cell wall organization ,http://amigo.geneontology.org/amigo/term/GO:0071555,"AT2G46930, AT3G05910, AT3G62060, AT5G23870, AT5G26670, AT5G60920, AT3G53350, AT3G61130, AT5G14650, AT5G15740, AT1G02720, AT1G02730, AT1G06490, AT1G08200, AT1G11545, AT1G13250, AT1G19940, AT1G20190, AT1G23480, AT1G24070, AT1G24170, AT1G26770, AT1G48100, AT1G63000, AT1G64390, AT1G69530, AT1G70630, AT1G70710, AT1G75680, AT1G78570, AT1G79500, AT2G03090, AT2G03280, AT2G20750, AT2G22125, AT2G24630, AT2G26330, AT2G28950, AT2G32990, AT2G33570, AT2G35650, AT2G36870, AT2G37640, AT2G38540, AT2G38650, AT2G40610, AT3G02250, AT3G03220, AT3G21190, AT3G23730, AT3G23840, AT3G24480, AT3G29030, AT3G44990, AT3G45940, AT3G49220, AT3G57200, AT3G59010, AT4G02130, AT4G02290, AT4G03210, AT4G13410, AT4G13840, AT4G16120, AT4G23990, AT4G24010, AT4G24510, AT4G28250, AT4G29360, AT4G31590, AT4G32410, AT4G33220, AT4G37800, AT4G39010, AT5G03760, AT5G08370, AT5G09760, AT5G09870, AT5G16190, AT5G17780, AT5G19730, AT5G22740, AT5G41900, AT5G42100, AT5G44670, AT5G47500, AT5G47820, AT5G49720, AT5G50750, AT5G53370, AT5G55480, AT5G60930, AT5G64640, AT5G64740, AT5G65730, AT5G65810, AT2G18230, AT2G41770, AT2G45890, AT2G46710, AT3G03250, AT5G06610, AT5G17310, AT5G50800, AT1G31420, AT1G70370, AT1G73360, AT2G34070, AT2G35620, AT2G47670, AT4G26850, AT5G61130, AT4G34980"
